account_id,customer_id,service_address,billing_address,account_status
1,29,"936 Stephanie Oval, New Cassandra, NM 37713","2389 Kevin Junctions, South Aaron, WA 39251",Active
2,71,"372 Adams Harbors Apt. 702, Richardsonside, IN 94311","250 David Summit Suite 005, Emilyborough, DE 83750",Active
3,58,"414 Nelson Mountain, Christinaland, CA 54378","953 Robert Shoals, Steventon, NH 04537",Active
4,27,"7051 Barnett Well Apt. 302, Pittmanchester, MD 02320","4311 Monica Lodge Suite 174, South Davidhaven, IL 09622",Closed
5,140,"52872 Travis Corner Apt. 795, Millerhaven, AL 29491","007 Jacob Lakes Apt. 248, Kylieview, NE 83815",Active
6,109,"USNV Poole, FPO AE 45954","Unit 5882 Box 5462, DPO AE 57990",Active
7,8,"96575 Diane Rue Suite 302, Castromouth, FL 70459","25823 Hudson Ridges Apt. 623, Palmerbury, WY 33234",Active
8,56,"99789 King Expressway, Myersberg, CO 95706","8449 Dillon Ports Suite 329, Christopherton, MO 14761",Active
9,130,"147 Jonathan Rest Apt. 254, Cherylberg, WA 87660","USNV Gutierrez, FPO AA 43928",Closed
10,7,"938 Melanie Heights, Nelsonchester, NV 90533","07392 Curtis Garden, West Jasonport, ME 94508",Closed
11,51,"2232 Johnson Pike, Samuelfort, LA 71425","84945 Rivera Lodge Apt. 205, New Tyler, AR 10211",Closed
12,140,"46081 Hines Trafficway Apt. 320, Ortiztown, DE 59344","02381 Gonzalez Knoll Apt. 922, Port Jocelyn, HI 27186",Inactive
13,57,"27949 Brad Views Apt. 960, Hammondmouth, MA 74408","21460 Dillon Rapid, South Timothystad, CA 46982",Inactive
14,72,"749 Hensley Forge Suite 185, Christinafurt, SC 93782","3285 Katie Well Apt. 194, North Nicholas, SC 67717",Active
15,41,"27895 Jill Skyway Suite 001, South Justin, MI 88567","139 Brenda Meadow Apt. 131, Mackmouth, NY 86982",Closed
16,109,"3971 Contreras Street, Williamberg, NV 23443","00763 Coleman Village, Petersonburgh, NE 20799",Inactive
17,72,"4108 Anderson Locks Apt. 056, Port Tiffany, OK 02073","094 Kelly Isle, Lake Adam, WY 36097",Active
18,56,"361 York Port, Lake Travisstad, TN 12461","388 Brown Gateway Apt. 249, Leeborough, NC 71439",Inactive
19,27,"405 Douglas River, Royshire, GA 08680","115 Velasquez Shoals Suite 792, Jamesside, CA 88877",Active
20,98,"USCGC Duncan, FPO AE 94021","6746 Jillian Knolls, Austinfurt, MI 26576",Active
21,92,"USNS Hebert, FPO AP 60669","7136 Buchanan Trace Apt. 845, Wellsshire, TN 71435",Inactive
22,68,"45712 Randall Ford, Ronaldside, PA 40876","3098 Joshua Trail, Pricemouth, AZ 21678",Active
23,118,"4528 Davidson Falls, New Maureen, NV 28318","315 Silva Port Suite 682, Port Toddchester, MA 82064",Closed
24,32,"17370 Erin Field Apt. 179, Jonesstad, CO 96389","2467 Thompson Causeway, South Ashley, NC 08355",Inactive
25,21,"97823 Eddie Centers Suite 023, North Robert, ID 63911","5058 Wallace Stravenue, Ryanside, NE 76324",Closed
26,76,"3050 Thomas Isle, Schroederborough, PA 16771","161 Morris Wells Suite 277, Nelsonland, MT 30467",Closed
27,93,"77217 Jason Knolls Apt. 912, Rivaschester, MA 22849","00210 Mcintyre Garden Suite 991, Josephview, MD 15528",Closed
28,50,"0562 Gary Loop Suite 684, North Kaitlyn, AL 92209","632 Lauren Rapids Suite 313, Burnsville, NJ 86999",Closed
29,18,"69325 Charles Mountains, Port Morganburgh, NY 39537","287 Richards Track, New Theresafurt, OK 25258",Active
30,59,"5838 Raymond Vista, Cookburgh, SD 85879","5126 Flores Extension Apt. 663, Seanburgh, MS 90946",Inactive
31,21,"2659 Jackson Ways Apt. 629, Lake Rebeccaview, MN 88936","8254 Danielle Common, Taylorstad, SC 97995",Active
32,26,"2917 Jonathan Camp Suite 213, Garyland, WA 80690","459 Suarez Turnpike, Suzanneborough, KS 83001",Inactive
33,72,"PSC 6454, Box 5911, APO AE 78953","53735 Young Street Suite 838, Michaelview, IA 84316",Inactive
34,94,"6385 Brandi Mews, Jaredburgh, WY 99465","7732 Denise Isle Apt. 268, Garymouth, MT 14732",Active
35,95,"03934 Griffith Spur, Walkerview, CA 02612","384 Randall Greens Suite 456, West Charlesburgh, IN 93368",Inactive
36,54,"8074 Vasquez Mountains Apt. 391, North Christopher, ME 96389","USCGC Sullivan, FPO AE 28870",Closed
37,69,"02477 Nelson Via, North Deniseton, OK 81493","53358 Rodriguez Mills, Murphyfort, IL 01890",Closed
38,19,"21413 Acosta Prairie Suite 184, Martinmouth, MI 44952","053 Scott Walk, Kyletown, AZ 56803",Closed
39,44,"374 Megan Junction Apt. 139, Allenfort, FL 87355","044 May Common, New Anne, CO 09090",Closed
40,63,"Unit 9060 Box 0930, DPO AP 04859","4394 Cristian Estate, East Rebeccamouth, MT 07400",Active
41,119,"763 Maria Valley, Hessside, MD 19871","8304 Mendez Passage Suite 423, Gonzalezberg, DE 11594",Inactive
42,70,"539 Chavez Garden Apt. 366, East Maria, GA 46271","262 Martin Mews Apt. 986, South Marissa, AK 66504",Closed
43,143,"519 Clark Key Suite 688, Port Brandonview, CA 62358","589 Rivera Stravenue, Samanthamouth, GA 47881",Active
44,84,"88105 Michael Meadows Apt. 062, Port John, MD 92922","05027 Brown Mount, Lake Danielmouth, CO 92979",Active
45,59,"164 Jones Fork Apt. 627, North Laurenport, KY 70016","9973 Myers Courts, Tuckerfort, CA 58446",Active
46,81,"187 King Mills Apt. 444, New Stacytown, NY 42260","13957 Laura Lane Apt. 306, Zacharymouth, HI 91164",Inactive
47,69,"321 Walters Mountain, Port Emily, MD 71194","21985 Lisa Row Apt. 653, South Victoriafurt, CA 58966",Active
48,55,"687 Kimberly Junction, Walkerton, WA 42207","2904 Jennifer Street, Chapmanborough, TX 83450",Closed
49,81,"716 Benson Parkway Apt. 077, Port Dennisshire, IN 67738","5543 Davila Radial, New Emily, MT 39635",Active
50,128,"58343 Johnson Field, New Samantha, AR 67907","5523 Dylan Trace, Camposfort, WV 74899",Inactive
51,118,"51599 Nicholas Meadow Suite 666, Sheilatown, GA 08932","97304 Short Village, Norrisland, CO 70477",Active
52,68,"58204 Crawford Vista Suite 855, Lake Victoriaside, MS 73434","912 Hernandez Tunnel, South Isabel, CO 60744",Active
53,64,"52503 Angela Port Apt. 679, Nataliestad, ND 63575","560 Briana Highway, East Jesse, RI 84390",Closed
54,144,"4033 Carter Union, Lake Holly, SD 35785","3986 Robin Square Suite 544, East Jason, MT 65652",Closed
55,68,"2934 Laurie Knolls Suite 727, Espinozaland, ME 78817","Unit 7398 Box 5675, DPO AA 49245",Closed
56,150,"042 Oneal Grove Apt. 869, Port Steven, CT 82083","66303 Amy Grove, East Kaitlynstad, SC 87592",Inactive
