customer_id,first_name,last_name,email,phone_number,created_at
1,Lindsay,Hicks,qmckinney@gmail.com,001-906-544-7645x782,8/6/2024
2,Michael,Diaz,amatthews@long-mccann.com,654-559-8493,8/1/2022
3,James,Flores,brianmorse@yahoo.com,626.299.0216x433,10/5/2024
4,Steve,Torres,sarahbates@hudson.com,-9406,12/22/2023
5,Joseph,Wright,chad47@yahoo.com,+1-844-517-6078x4634,2/3/2023
6,Derek,Hicks,bauerlaura@hotmail.com,254.433.8343x186,4/24/2021
7,Samantha,Daniels,beckyhoover@sanchez.com,001-736-201-2701x8839,8/17/2024
8,Selena,Green,jessicaruiz@yahoo.com,(105)289-9234x1431,4/30/2021
9,Dominique,Jackson,xroman@booth.org,(673)930-6522,2/10/2023
10,Gwendolyn,Young,tchavez@yahoo.com,006.888.1282,2/16/2024
11,Alyssa,Mcdowell,andrew29@gmail.com,(019)772-0145,6/17/2024
12,Austin,Porter,michael33@carson.com,+1-076-925-4944x4566,12/26/2022
13,Scott,Simpson,samueladams@hotmail.com,8208378268,11/23/2022
14,Jesus,Jarvis,kimberly30@little.com,(318)742-3563x78825,9/21/2022
15,Michael,King,andreapeters@mills.biz,9986478192,9/4/2023
16,Michele,Lam,simmonsshane@hotmail.com,8976568782,9/3/2022
17,Johnny,Edwards,htrujillo@yahoo.com,+1-995-802-1037x449,6/12/2022
18,Brianna,Palmer,ruizluis@webb-williams.com,345-418-4470,1/24/2024
19,Thomas,Vaughn,jamie86@aguilar.com,+1-745-053-1786x732,1/24/2022
20,Paul,Tucker,josephpratt@gmail.com,975.462.9705x1406,1/6/2024
21,Randall,Newton,tiffanyreed@cannon.com,153-391-8922x00205,10/5/2024
22,Michael,Melendez,woodmichelle@collins.net,001-888-223-0521x810,11/2/2022
23,Victoria,Pope,stewartpeter@yahoo.com,(466)736-0885,12/16/2023
24,Bruce,Ayala,richardpage@hotmail.com,473.297.4511,4/2/2023
25,Sarah,Taylor,phendrix@jones-miranda.com,3119810836,5/9/2023
26,Garrett,Wallace,eric09@henderson.info,(185)118-4767,4/1/2024
27,Jack,Mitchell,jasongraham@yahoo.com,001-064-131-8965x1574,1/8/2024
28,Anna,Wright,christopher24@hotmail.com,-6685,7/17/2024
29,Cheryl,Martinez,martinalexandria@marshall.net,001-658-716-8065x9714,6/6/2022
